year,make,model,trim,body,transmission,vin,state,condition,odometer,color,interior,mmr,sellingprice
2012,Toyota,Prius v,Three,Wagon,automatic,jtdzn3eu2c3041626,oh,36,28159,silver,gray,18350,17900
2012,Volkswagen,CC,Lux Limited,Sedan,automatic,wvwhn7an3ce537539,tx,24,36497,black,black,16100,13000
2012,Toyota,Yaris,Fleet,Sedan,automatic,jtdbt4k34c1425749,pr,39,53116,black,black,8175,9200
2012,Toyota,Sienna,LE 8-Passenger,Minivan,,5tdka3dc1cs012946,pa,19,41351,gray,gray,17400,14800
2012,Toyota,RAV4,Sport,SUV,automatic,jtmrf4dv8c5052289,pa,36,37688,gray,black,17100,16800
2012,Volkswagen,CC,R-Line,Sedan,automatic,wvwmn7an9ce509906,il,42,85716,black,black,8950,10000
2012,Toyota,RAV4,Base,SUV,,2t3jf4dv2cw208610,oh,41,17581,gold,tan,17150,16800
2012,Toyota,Prius,Three,Hatchback,automatic,jtdkn3du2c5452547,ga,34,34490,red,gray,15250,12300
2012,Toyota,Highlander,Limited,SUV,automatic,5tddk3eh0cs093812,wi,19,57887,black,black,25600,21100
2012,Toyota,Prius v,Three,Wagon,automatic,jtdzn3euxc3038036,oh,38,42300,black,gray,17150,16400
2012,Toyota,Venza,LE,Wagon,automatic,4t3ba3bb1cu031666,ma,26,93110,black,gray,13300,12800
2012,Toyota,Yaris,Fleet,Sedan,automatic,jtdbt4k38cl033166,pr,41,51044,white,black,8275,10100
